Serial Number,Error Type,Ungrammatical Statement,Standard English
9530,Agreement in Comparative and Superlative Forms,She thinks she's the most funniest person in the room.,She thinks she's the funniest person in the room.
9531,Quantifier Errors,Some of the articles in this magazine are informative.,Some articles in this magazine are informative.
9532,Article Usage,He was late because of an heavy traffic.,He was late because of heavy traffic.
9533,Gerund and Participle Errors,The dog was punished for chew the furniture.,The dog was punished for chewing the furniture.
9534,Passive Voice Overuse,The game was won by the home team in overtime.,The home team won the game in overtime.
9535,Verb Tense Errors,She is dance at the party last night.,She was dancing at the party last night.
9536,Agreement in Comparative and Superlative Forms,This is the most more spacious room in the house.,This is the more spacious room in the house.
9537,Inappropriate Register,The new software update's gonna fix the bugs and improve performance.,The new software update will fix the bugs and improve performance.
9538,Spelling Mistakes,"37. We have planted tomatoes, potatos, and carrots in our garden.","37. We have planted tomatoes, potatoes, and carrots in our garden."
9539,Faulty Comparisons,The water is more deeper here than over there.,The water is deeper here than over there.
9540,Sentence Structure Errors,The cake needs to be frosted after it cools down.,The cake needs to be frosted after it cools down.
9541,Preposition Usage,He was leaning on the wall.,He was leaning against the wall.
9542,Infinitive Errors,She wants to in the future study computer science.,She wants to study computer science in the future.
9543,Modifiers Misplacement,The phone was found by the owner in the lost and found with a cracked screen.,The phone with a cracked screen was found by the owner in the lost and found.
9544,Verb Tense Errors,She buy a new dress for the party.,She buys a new dress for the party.
9545,Sentence Fragments,"He the gym, exercising.","He was at the gym, exercising."
9546,Agreement in Comparative and Superlative Forms,This is the most more spacious room in the house.,This is the more spacious room in the house.
9547,Pronoun Errors,"The artist displayed their paintings at the exhibition, and they're work received much praise.","The artist displayed his or her paintings at the exhibition, and his or her work received much praise."
9548,Spelling Mistakes,"50. The store sells furnitures, electronics, and clothing.","50. The store sells furniture, electronics, and clothing."
9549,Punctuation Errors,"I love reading books, like; Harry Potter, and Lord of the Rings.","I love reading books, like Harry Potter and Lord of the Rings."
9550,Spelling Mistakes,69. The company's annual revenue has increasd by 10% this year.,69. The company's annual revenue has increased by 10% this year.
9551,Word Choice/Usage,She gave a complimentary to her colleague.,She gave a compliment to her colleague.
9552,Tautology,The new innovation in technology has made our lives easier.,The innovation in technology has made our lives easier.
9553,Subject-Verb Agreement,The set of instructions was difficult to follow.,The set of instructions were difficult to follow.
9554,Agreement in Comparative and Superlative Forms,The weather today is most hotter than yesterday.,The weather today is hotter than yesterday.
9555,Relative Clause Errors,"The bus, I take it every day, was late this morning.",The bus that I take every day was late this morning.
9556,Parallelism Errors,"The band plays rock music, jazz, and they perform acoustic sets.","The band plays rock music, jazz, and performs acoustic sets."
9557,Ellipsis Errors,I tried calling her... didn't answer the phone.,"I tried calling her, but she didn't answer the phone."
9558,Infinitive Errors,The company needed to rapidly adapt to the market changes.,The company needed to adapt rapidly to the market changes.
9559,"Slang, Jargon, and Colloquialisms",12. You got any idea how to fix this?,12. Do you have any idea how to fix this?
9560,Mixed Metaphors/Idioms,"10. The early bird catches the worm, but that's the way the cookie crumbles.",10. The early bird catches the worm.
9561,Punctuation Errors,I dont know what your talking about.,I don’t know what you’re talking about.
9562,Sentence Fragments,"The plane, delayed, passengers waiting.","The plane was delayed, and passengers were waiting."
9563,"Slang, Jargon, and Colloquialisms",34. The hacker used a zero-day exploit to compromise the system.,34. The hacker used an unknown vulnerability to compromise the system.
9564,Abbreviation Errors,The recipe calls for 1tsp of salt and 2tbsp of sugar.,The recipe calls for 1 teaspoon of salt and 2 tablespoons of sugar.
9565,Ambiguity,The man who dropped his wallet I returned it to him.,I returned the wallet to the man who dropped it.
9566,Gerund and Participle Errors,The broken window was a result of the children's careless play.,The broken window was a result of the children's careless playing.
9567,Quantifier Errors,Some of people like to play basketball.,Some people like to play basketball.
9568,Negation Errors,I haven't received no packages.,I haven't received any packages.
9569,Verb Tense Errors,The students are prepare for their presentations.,The students are preparing for their presentations.
9570,Spelling Mistakes,81. The ice cream was melting quickly in the hot summer sun.,81. The ice cream was melting quickly in the hot summer sun.
9571,Infinitive Errors,He always forgets to carefully proofread his essays.,He always forgets to proofread his essays carefully.
9572,Sentence Structure Errors,She going to the beach for vacation tomorrow.,She is going to the beach for vacation tomorrow.
9573,Spelling Mistakes,"48. He can play the guitar, the piano, and the drumbs.","48. He can play the guitar, the piano, and the drums."
9574,"Slang, Jargon, and Colloquialisms",12. You got any idea how to fix this?,12. Do you have any idea how to fix this?
9575,Subject-Verb Agreement,The group of hikers takes a break by the waterfall.,The group of hikers take a break by the waterfall.
9576,Capitalization Errors,what is your name?,What is your name?
9577,Clichés,You're comparing apples oranges.,You're comparing apples to oranges.
9578,Spelling Mistakes,85. The elephant is the largest mamal on Earth.,85. The elephant is the largest mammal on Earth.
9579,Spelling Mistakes,17. He was feeling ill so he went to the doctors office.,"17. He was feeling ill, so he went to the doctor's office."
9580,Ambiguity,The cake need more sugar.,The cake needs more sugar.
9581,Verb Tense Errors,They was listening to music.,They were listening to music.
9582,Article Usage,The crowd is cheering for a home team at a sports event.,The crowd is cheering for the home team at the sports event.
9583,Spelling Mistakes,96. The store clerk was counting the money in the cash register.,96. The store clerk was counting the money in the cash register.
